english_speaker,vowel,f1,f2,f3,duration,df1_off,df2_off,df3_off,df1_on,df2_on,df3_on
ale,eh,4.988427876823338,12.495215110178384,15.564747145187601,110,1.3875819553731876,0.451898936,15.931017827484723,1.018578296016167,0.3282932124848692,1.1297731028970386
ale,eh,4.664368572603866,13.771644846465128,15.525272206303724,101,-0.017768706,0.026854770129249417,15.868572373681335,-0.125204319,-0.724482923,0.35544024174694044
ale,eh,4.339457202505218,14.208417183551573,15.83523752733055,51.951,-0.475019922,0.7417797780407209,16.18229014833842,-0.534906304,0.19910202114792952,0.12309678812810176
ale,ah,7.045885797950219,13.403842195540308,16.014791951553036,30,0.014090926,0.4068553401308037,16.368182853863082,0.705341282,0.044021052322939624,0.3449512993436983
ale,ae,10.783804187555294,13.636207892204041,15.191669128508122,330,0.7422467091869382,-0.215315287,15.533529680295837,-2.208521169,-1.876130523,-0.539816949
ale,iy,7.5330859793078835,13.765687068349607,15.270655772051121,340,-1.489902526,0.074953959,15.61468511894203,1.4044717764676937,-1.672404131,-0.825700817
ale,ah,3.5812526997840166,14.03399673735726,14.64155039,71.007,-0.136445883,-0.45609974,14.974801116859345,0.068428609,-0.93703738,0.012874391
ale,ih,5.361369426751592,11.13223407321995,15.876594733716095,59.052,0.083607636,0.8630811177050184,16.266859515142347,-0.201787433,0.9648779375762722,0.010288177676308408
ale,eh,4.805704944830404,13.30848679338435,15.901252222002766,60,0.44794107332435473,-0.19864009,16.24775854882471,0.043789345544799296,-0.970540389,-0.854172273
ale,ah,4.210449391,12.980177170336624,15.797733891881107,70,-0.462807188,0.2678508083433364,16.15496797,0.10149040831892364,-0.17392076,-0.198140396
ale,ae,6.650713485244677,12.396882430647292,16.481827335446575,140,-0.080328181,1.117624651600762,16.858425984591324,-0.411750861,-0.047847436,-0.638292082
ale,ah,5.082904396934247,11.719844832363535,15.73674157303371,92.579,-0.093641788,-0.323471342,16.10301225533083,0.23674458591377778,-1.50453453,-0.293532664
ale,ah,3.957315208156329,11.33897071367643,15.483287446065338,30,-5.598432723,-3.72010253,15.808871406498922,-0.317384144,-0.072570714,-0.157550527
ale,eh,6.162235834609494,12.285965379494009,15.839388038942976,170.587,-0.295961072,-0.56848531,16.194703169071367,-1.243048843,3.195103260045654,0.6624951021065204
ale,iy,4.5031247409863235,15.378008298755185,17.142876021561467,230,-2.976302808,0.13973975494345936,17.46604630072947,-0.05428386,-0.132783603,-0.209656527
ale,uw,7.546452762923351,11.347462347257744,15.672894630601535,30,-0.417897185,-0.238018637,16.045353023511243,-0.326155338,0.4844760635203684,-0.247594073
ale,uw,2.6631011235955055,12.902301425661914,15.562561696920254,50,-9.730112407,-2.974293308,15.87713756266743,10.19820633299285,2.794093338,1.342308954284027
ale,aa,5.082904396934247,11.823988995873453,15.972506865437426,29,-0.295106741,0.7531351608517447,16.351923952225835,-0.277199452,-0.230294194,-0.024319685
ale,ah,4.042336013542108,12.93288290576581,14.986726842897056,29,-1.854576322,-0.985884443,15.327680485571976,-0.189822142,-1.879657754,-0.36842236
ale,eh,5.761608746583366,10.991201629327902,15.222003367003365,31,-0.681622661,0.2762490226928307,15.606235010700024,0.079807045,0.5654584995597425,0.10144951039446681
ale,aa,7.074005847953215,11.851773750686435,16.194088291746638,99,0.6833321159320196,-0.023730635,16.562626641718758,0.1876807246128367,-0.067663406,-2.339626244
ale,iy,6.510398796087283,14.831721132897604,16.817079056365927,201,0.082155502,1.5072438153433634,17.166049914433206,-1.333852611,-5.45349019,-0.7902693
ale,ao,5.319648982848025,9.073844138834316,15.425300557736005,130,-0.016708132,-1.926248911,15.805674743045007,2.5548869190784185,1.5436819416425838,0.2774852715715621
ale,uw,4.321119933,9.410786516853934,15.163520203088638,40,-0.091381107,0.9073765033221335,15.577708149473136,-0.119943463,1.1739924556669745,0.009398842
ale,uw,4.6998767967145785,6.810715079659133,15.242906952320942,30,-0.28855108,-1.280430646,15.662686641964466,-0.196752056,-0.255790155,0.02313371
ale,aa,6.716485480268055,11.646861598440546,15.717668341708544,120,0.37864866812384257,-0.411866412,16.08373078,-0.333342731,-1.772606213,-0.777245381
ale,ah,7.512999999999999,13.965118350128897,16.83408952004314,31,0.047035088,0.5549689501778801,17.181904328828832,-0.169072072,-0.663038824,-0.218904675
ale,ah,6.577112860892387,12.035597722960151,16.753604060913705,50.546,0.11144166933884314,0.12071527353423583,17.121610254126104,-0.178913845,0.023130287865289034,-0.452259587
